170260,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1
80511,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1
60099,3,3,3,3,3,2,3,3,3,4,3,4,3,2,2,2
passwd,1,3,1,3,2,2,3,1,3,2,2,4,4,3,1,1,1
passwd,1,3,1,3,2,2,3,3,2,2,4,3,1,1,1,1
passwd,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
170260,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1
80511,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1
passwd,2,2,1,3,5,2,3,2,1,4,2,3,3,3,3,3,1,2,1
passwd,1,3,3,3,3,2,2,3,3,4,2,3,1,2,2,2
80334,1,2,3,3,3,1,1,3,1,3,2,2,1,3,3,2,2,1
170260,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1
80511,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1
passwd,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80120,1,2,1,3,2,1,1,2,2,2,3,2,2,1,1,1
110479,1,1,3,3,2,1,1,3,2,2,1,3,3,1,1,1
170260,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1
80511,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1
passwd,1,3,2,3,1,2,1,2,3,1,2,2,3,1,2,1
120296,1,2,1,4,3,1,3,1,2,2,3,3,3,3,1,1,2
100589,3,1,1,3,5,2,2,1,1,3,2,2,1,3,3,1,1,1
170260,1,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1
80511,1,1,1,2,1,2,2,2,2,1,1,2,2,1,2,1
