130243,3,3,3,5,3,2,1,1,2,2,2,3,2,2,2,2
passteach,3,1,3,5,2,2,3,4,2,3,4,3,1,2,2,2
passteach,2,2,2,3,3,1,2,3,2,3,4,4,2,2,1,1
passteach,2,1,1,4,2,1,2,1,1,4,2,2,2,1,2,1
passteach,1,1,3,5,2,1,1,3,2,1,1,1,3,1,2,2
passteach,2,1,2,1,3,2,2,3,3,4,1,2,3,1,1,1
passteach,1,2,2,4,1,1,2,4,2,2,1,1,3,2,2,2
70086,1,3,1,5,2,1,3,1,2,2,1,2,2,1,2,1
passteach,2,1,2,3,2,2,3,3,1,4,4,3,1,1,1,1
100450,1,3,3,3,2,1,3,1,2,3,1,2,1,1,1,1
180282,3,1,1,4,3,1,1,3,1,2,2,3,1,2,2,1
90484,1,1,3,5,1,2,1,2,1,3,2,3,1,2,2,1
90250,1,2,1,4,3,1,3,3,1,1,2,2,3,2,2,1
180161,1,1,1,3,3,1,1,3,1,2,2,3,2,2,2,1
160395,1,1,3,3,2,1,1,2,2,3,2,3,1,1,2,1
70055,1,1,1,3,2,1,1,2,2,1,2,3,2,1,1,2
140442,1,1,1,5,2,1,1,2,2,3,2,3,1,1,1,1
100346,2,1,1,4,3,1,1,2,3,4,4,4,3,1,1,1
passteach,2,1,1,1,2,1,2,1,3,1,4,1,3,2,2,2
passteach,3,1,3,2,1,2,2,1,2,4,4,3,2,2,1,1
190375,2,1,2,3,3,2,1,3,3,4,3,4,3,2,1,2
100435,2,2,1,3,1,1,1,5,3,4,3,2,1,1,1,1
120261,3,2,3,4,3,1,3,4,3,3,4,4,3,2,2,2
100541,1,1,1,3,3,1,1,3,1,2,1,3,1,2,2,1
100390,1,1,1,5,2,1,1,3,2,2,1,3,1,1,2,1
100330,2,1,1,1,3,1,2,2,3,4,3,3,3,2,1,2
70081,2,1,3,5,2,1,3,5,1,3,4,1,1,2,1,2
110242,1,2,1,5,3,1,3,3,1,4,2,4,3,2,1,1
180350,1,2,1,3,1,1,3,4,1,4,2,4,1,1,2,1
60034,1,1,1,3,2,2,1,3,1,2,2,4,1,1,1,1
140297,1,1,1,3,2,2,1,3,2,3,2,3,3,2,2,1
60099,1,1,1,3,3,2,3,3,1,1,3,3,1,1,1,1
80230,1,1,1,3,3,2,3,4,3,2,2,3,3,2,2,1
80511,1,1,1,3,2,2,3,3,1,4,1,1,3,1,2,1
80125,1,2,2,5,3,1,2,1,1,2,1,3,3,2,2,1
60309,1,1,3,3,2,1,1,3,2,1,1,3,1,1,1,2
160313,3,3,1,3,3,2,1,3,1,3,2,4,1,2,1,2
