150293,1,1,1,3,3,2,1,1,2,2,1,3,2,1,1,1
130239,1,2,1,5,3,2,3,3,1,1,2,4,1,2,1,1
140434,2,3,1,5,2,2,2,1,1,1,3,4,1,1,1,2
160394,2,1,1,5,3,2,1,3,2,1,1,3,1,1,2,2
120308,2,1,1,4,3,2,2,1,2,1,2,4,1,1,1,1
190346,1,1,1,3,1,2,1,4,2,1,3,3,1,1,1,1
90269,1,3,1,5,3,1,1,1,1,1,2,1,3,2,1,1
90058,2,2,1,2,1,2,3,3,1,1,2,3,2,2,1,2
90126,2,3,1,3,2,1,1,5,2,2,2,4,1,2,1,2
100203,2,2,1,4,1,2,3,3,2,4,2,3,2,1,2,1
90192,2,2,1,3,3,2,1,3,1,4,1,3,2,2,2,1
170252,1,2,1,3,3,1,1,2,1,1,4,2,3,2,1,1
170394,1,3,1,3,3,2,1,1,2,1,1,4,2,1,1,1
100216,1,2,1,5,2,2,3,4,1,1,2,2,1,2,2,1
90079,2,3,1,5,3,1,3,5,1,1,4,3,2,1,2,2
170323,2,2,1,2,3,2,3,3,1,2,2,2,3,2,1,1
110232,2,2,2,2,2,1,1,1,2,1,2,3,2,2,1,1
110490,1,3,1,3,3,2,3,1,3,1,1,2,1,1,2,1
170287,2,2,1,4,3,1,3,4,1,2,1,3,1,1,1,1
110662,2,2,2,2,3,2,1,4,3,1,2,3,1,1,1,1
180294,2,3,1,4,1,2,3,2,3,2,4,2,2,1,2,1
130427,2,3,1,5,3,2,1,5,1,2,1,1,2,1,1,2
90022,3,1,1,5,3,1,1,5,1,2,2,4,3,1,2,1
90077,1,2,3,3,3,1,1,3,2,4,1,4,1,1,1,1
90059,2,2,1,3,3,1,1,1,3,1,1,4,2,1,1,1
170245,1,2,3,3,1,2,1,3,2,2,2,2,1,1,1,2
100288,1,3,3,4,3,1,3,3,1,2,3,4,3,2,2,2
90024,1,2,3,3,3,1,1,3,2,4,1,4,1,1,2,2
90202,1,2,3,3,3,1,1,3,2,4,1,4,1,1,1,1
90107,1,1,3,5,2,1,1,3,2,3,1,4,1,2,2,1
90073,2,1,1,3,3,2,1,4,1,4,3,4,3,2,2,2
190301,2,2,2,5,3,2,2,4,1,2,3,3,1,2,2,2
100235,2,1,2,3,3,2,2,5,3,2,3,3,1,1,1,2
120256,1,2,1,3,1,2,1,1,1,2,3,3,3,2,2,1
